Unit Code	Short Unit Title
EDDA500	DANCE CURRICULUM & TEACHING 1
EDDA501	DANCE CURRICULUM & TEACHING 2
EDDR401	DRAMA CURRICULUM & TEACHING 1
EDDR402	DRAMA CURRICULUM & TEACHING 2
EDDR403	DANCE/DRAMA EDUCATION
EDDR500	CREATIVE ARTS ED: DRAMA/DANCE
EDDR501	DRAMA CURRICULUM & TEACHING 1
EDDR502	DRAMA CURRICULUM & TEACHING 2
EDFD102	RACE&RACISM IN AUS EDUCCONTEXT
EDFD111	ALTERNATIVES IN EDUCATION
EDFD112	CHILDREN AT RISK
